UUID,encoded_size,encoder_hidden_layers,numepochs,avg_recon_loss_tr,final_recon_loss_tr,avg_recon_loss_va,best_recon_loss_va,bestep_recon_loss_va,avg_lin_loss_tr,final_lin_loss_tr,avg_lin_loss_va,best_lin_loss_va,bestep_lin_loss_va,avg_pred_loss_tr,final_pred_loss_tr,avg_pred_loss_va,best_pred_loss_va,bestep_pred_loss_va,avg_total_loss_tr,final_total_loss_tr,avg_total_loss_va,best_total_loss_va,bestep_total_loss_va,avg_recon_anae_tr,final_recon_anae_tr,avg_recon_anae_va,best_recon_anae_va,bestep_recon_anae_va,avg_lin_anae_tr,final_lin_anae_tr,avg_lin_anae_va,best_lin_anae_va,bestep_lin_anae_va,avg_pred_anae_tr,final_pred_anae_tr,avg_pred_anae_va,best_pred_anae_va,bestep_pred_anae_va
FPv99NnRocJiQCrtsfF8ZJ,100,"[300, 200, 100]",400,3.2781844750691864e-06,6.8315921453177e-07,0.00026118080447,0.0001352036633761,322,7.500806511018255e-07,1.3707715424970957e-06,8.175767269070396e-06,2.392082251390093e-06,150,3.42822847452832e-06,2.996155444634496e-06,0.0001991274697502,0.0001138269508373,322,0.000107004323072,0.0001007042301353,1.2778849957915858e-05,7.118994290067349e-06,221,12.435621382395428,7.377682685852051,29.92245447794596,17.29192352294922,350,1.250926876862844,1.3078206777572632,2.247518249352773,1.0334434509277344,87,12.5059495083491,8.744789123535156,30.929257704416912,18.098024368286133,356
NiTum6MCqihid7SWksoQ4Y,50,"[300, 200, 100]",400,4.852855816087261e-06,1.1906533927685814e-06,0.000332254194509,0.0001599676033947,348,3.504289811454934e-07,6.441096616072173e-07,9.060863415773688e-06,2.768792683127685e-06,79,4.889783444923523e-06,5.969963012830704e-07,0.0002500700181796,0.0001200256083393,348,0.0001108557273255,9.653512097429484e-05,1.4884105427578712e-05,7.697351065871771e-06,333,14.370431723594663,7.90582799911499,36.46930405934652,21.735809326171875,391,2.2463798277576763,19.861970901489254,4.402122803131739,1.1905452013015747,74,14.40532129128774,7.745581150054932,37.337052981058754,23.051122665405277,391
L8VxmBPoBrqtHf2QpdtTwd,100,"[300, 200, 100]",200,6.71260767376225e-06,1.678960074968927e-06,0.0004025218475726,0.000217243010411,199,2.6838256445671504e-07,3.7196258517724345e-07,7.19159489563026e-06,4.478657956497045e-06,178,6.694511627074462e-06,1.7361038544549956e-06,0.0003034686374303,0.0001259296986972,199,0.0001155984779325,0.00010757119162,1.4251499660531408e-05,9.074001354747452e-06,178,19.59194480895996,11.502995491027832,37.25931959152221,21.774789810180664,189,0.5254792696237565,0.5563539862632751,2.388099503517151,1.3571950197219849,99,19.48331192970276,11.498750686645508,37.53030261993408,22.095258712768555,189
4xenLgm6HUcoTWZPLXZsfH,100,"[300, 200, 100]",300,5.048270258214415e-06,1.0651675665940274e-06,0.0003177273310211,9.910493827192111e-05,287,2.2617264146873598e-07,2.069192390763419e-07,6.11089184985758e-06,2.354842763452325e-06,153,4.991691881741645e-06,1.0485626944500837e-06,0.0002909768833342,8.028487354749814e-05,287,0.0001150154788047,0.0001085529875126,1.2197933838251629e-05,5.469093139254255e-06,293,14.919486420154572,7.708928108215332,42.81004010200501,25.70886993408203,292,0.5873080661147833,0.7399439215660095,4.83869206905365,1.661545991897583,207,14.843595321178435,7.649416446685791,43.02657576560974,26.376110076904297,292
6Kb5BeQguV4EwCGJ4teYtm,100,"[200, 200]",400,9.579343349249332e-06,9.123872928284982e-07,0.0002851836726767,0.0001350976381218,380,7.299846607603891e-07,1.6485129208376748e-06,1.880482082621408e-05,9.733303159009664e-06,32,9.558372442294664e-06,1.7565591861057328e-06,0.0002198026271313,8.63314708112739e-05,385,0.0001112425153648,9.9158743978478e-05,2.385468373176991e-05,1.5809557226020843e-05,381,19.536848017374677,11.59620189666748,46.88596421559652,23.208162307739254,369,1.4429219130674995,1.3205931186676023,7.035477378368378,2.085934400558472,121,19.343213809331257,11.496212005615234,48.322603715260826,26.81293487548828,368
egeNMmiTxBbkn2VTE75K8S,50,"[300, 200, 100]",200,7.098354149093211e-06,2.2826818621979328e-06,0.0004211795379524,0.0002477497910149,154,5.48736139620587e-07,4.4569193846655253e-07,1.225468354732584e-05,6.573627160832984e-06,132,7.109678157348753e-06,2.675449195521651e-06,0.0003235201560892,0.0001731178490445,157,0.0001215483820124,0.0001023666191031,1.9701680384969224e-05,1.3634145034302492e-05,154,17.390163745880127,12.077946662902832,48.21909854888916,33.15266799926758,200,0.9688128080964088,1.878383755683899,4.881813815832138,1.3647594451904297,67,17.371509656906127,12.23798942565918,48.9494123840332,33.52082061767578,200
QpaKYFGJVUi2twjuCP4o83,100,"[200, 200]",200,1.5715041040493816e-05,5.1918518693128135e-06,0.0004424299218226,0.0002780244103632,186,5.485388169290672e-07,7.553715590802312e-07,1.4295548999143648e-05,7.130359335860703e-06,33,1.5695450629209516e-05,5.0316471060796175e-06,0.0003327697033819,0.0001826013904064,186,0.0001101350017415,0.0001040108763845,2.2047545253371937e-05,1.4974328223615885e-05,193,30.119438915252687,20.901329040527344,54.11836791992187,43.36030578613281,200,1.2291553777456283,0.9516960978507996,7.54563812494278,2.647733449935913,172,29.71277614593506,20.36068725585937,54.14398307800293,34.38535690307617,199
NefvAiyWQRvcp658w4VsbC,50,"[300, 200, 100]",300,7.753149855318498e-06,3.1261381536751287e-06,0.0005565132778428,0.0002782074152491,274,2.319902607439417e-07,3.683224178985256e-07,7.305193007596245e-06,4.019030257040868e-06,212,7.729628190418226e-06,1.5373900623671943e-06,0.0004398151854547,0.0001967547868844,274,0.0001152733710114,9.749407035997136e-05,1.7268477477045964e-05,9.826857422012836e-06,274,19.150208945274358,10.425095558166504,55.59905893325806,29.899341583251957,288,0.6965666468441486,0.7886859774589539,4.160555979609489,1.3790371417999268,137,18.996343359947204,9.741705894470217,55.72431149482727,30.363571166992188,288
VABy9y97E6WteUp2aibefS,100,"[200, 200]",300,0.0001690353238859,1.288227485929383e-05,0.0014363282184058,0.0003817862598225,299,5.933362027832346e-07,6.962255270082096e-07,4.102970770873071e-05,1.145028909377288e-05,36,0.0001663091710793,1.923233867273666e-05,0.0017824301900691,0.0007138514774851,299,0.0001220372163516,0.0001095608895411,7.32172912103124e-05,4.059910861542448e-05,88,37.993525419235226,22.119638442993164,65.39503017425537,36.15837860107422,207,7.307463163137436,6.767650604248047,51.253602957725526,2.216914176940918,85,37.92699796676636,23.684886932373047,64.38077579498291,33.752071380615234,206
ZTdhCZkbhQbtdEDpvnd9pc,50,"[200, 200]",400,0.0002208025299963,5.4879892559256405e-06,0.0016547518987984,0.0004448379040695,371,4.635127920858887e-05,5.376375611376716e-07,0.0001294667436195,6.935425062692957e-06,40,0.0002656800806441,6.3702286752231885e-06,0.0018987143608198,0.0004074582830071,152,0.000176536108435,0.0001017462273011,0.0001650014029776,2.1743391698691997e-05,146,38.55253206253052,19.20779800415039,64.3500492477417,33.13507843017578,400,10.273866092562676,5.4364094734191895,40.19866970380147,2.204152107238769,78,38.90107986450195,19.305519104003903,67.26888284683227,31.42043876647949,396
